,nct_id,description,title,intervention_name,disease,keyword,outcome_measure,criteria,reference,overall_status
0,NCT03760770,"Background: The objective of corneal collagen crosslinking (CXL) is to increase the binding of intrafibrillary and interfibrillary covalent bonds to improve the mechanical stability of the cornea and thus to stop the progression of corneal ectasias. Although the vast majority of studies have described pain after photorefractive keratectomy (PRK), the pathophysiological principle of pain is similar in CXL. From the anatomical point of view, the corneal epithelium is the most densely innervated and sensitive surface of the body, being 300-600 times greater than in the skin. The pain after CXL comes from several routes, the process begins with the epithelial rupture that generates exposure of the nerve endings, induces apoptosis and necrosis of the epithelial cells. Subsequently an inflammatory cascade is initiated in which the different cytokines stimulate the nerve terminals. Inflammatory mediators also activate the ion channels in the nerve membrane, and this process continues until the epithelium heals. Additionally, exposure to UVA rays can also cause nerve damage. The effect of local cold for pain management has already been reported in PRK. By cooling the cornea, the release of chemical mediators and inflammation can be reduced. In the CXL radiation is transformed into several forms of energy: fluorescent radiation, chemical energy and, to a small extent, heat. The CXL process is energetically comparable to photosynthesis, in which the radiation energy is transformed into chemical energy (glucose) with the help of pigments (chlorophyll). The thermal effect is negligible in the photochemical method of CXL. Justification: No method for the control of pain after crosslinking is considered ideal or universally accepted, the importance of this study lies in looking for an additional tool to reduce the most common postoperative complaint in a highly performed procedure worldwide. Hypothesis: The application of riboflavin at 4oC reduces the pain assessment after the CXL. Purpose: to evaluate the effect of the application of riboflavin at 4oC in the assessment of postoperative pain in patients undergoing CXL. Materials and methods: Prospective and interventional clinical study in patients older than 18 years with a diagnosis of keratoconus who underwent CXL, in the cornea and refractive surgery service of the Ophthalmology institute Fundación Conde de Valenciana.",Riboflavin at 4ºC for the Management of Pain After Crosslinking for Keratoconus Patients,corneal collagen crosslinking,"Crosslinking, Keratoconus","Cold, Crosslinking, Keratoconus, Pain",Change pain perception in patients undergoing crosslinking with riboflavin at 4ºC,"Inclusion Criteria:~patients of any gender~older than 18 years~diagnosis of keratoconus who require management with crosslinking in both eyes for evidence of progression.~Exclusion Criteria:~crosslinking without removal of epithelium or unilateral crosslinking.~patients with other ocular conditions different from keratoconus.~cognitive disability that limits the compression of the pain test as Down syndrome, etc."," Corneal stromal demarcation line after collagen cross-linking in corneal ectatic diseases: a review of the literature,  Recovery of corneal sensitivity after collagen crosslinking with and without epithelial debridement in eyes with keratoconus,  Riboflavin and ultraviolet A collagen crosslinking: in vivo thermographic analysis of the corneal surface,  Mechanisms of Corneal Pain and Implications for Postoperative Pain After Laser Correction of Refractive Errors,  Management of post-photorefractive keratectomy pain,  Corneal nerve morphology and sensitivity changes after ultraviolet A/riboflavin treatment,  Cooling effect on excimer laser photorefractive keratectomy,  Corneal crosslinking with riboflavin and ultraviolet A,  Pathogenesis of Keratoconus: The intriguing therapeutic potential of Prolactin-inducible protein,  Risk Factors for Keratoconus: Atopy and Eye Rubbing,  Age-specific Incidence and Prevalence of Keratoconus: A Nationwide Registration Study,  Postoperative pain after corneal collagen cross-linking,  Riboflavin/ultraviolet-a-induced collagen crosslinking for the treatment of keratoconus,  Stromal Demarcation Line in Pulsed Versus Continuous Light Accelerated Corneal Cross-linking for Keratoconus,  Changes in the quality-of-life of people with keratoconus,  Gabapentin for postoperative pain after photorefractive keratectomy: a prospective, randomized, double-blind, placebo-controlled trial,  Corneal collagen cross-linking demarcation line depth assessed by Visante OCT After CXL for keratoconus and corneal ectasia",Unknown status
1,NCT03760757,"To evaluate the effects of PCSO-524®, and a blend of PCSO-24® (75%) and krill oil (25%) (ESPO-572®), on indirect markers of muscle damage, inflammation and soreness during recovery from muscle damaging exercise in untrained men.",Effectiveness of Two Different Forms of Marine Oil on Indirect Markers of Muscle Damage and Soreness in Untrained Men,"ESPO-572®, PCSO-524®",Inflammation; Muscle,"krill oil, DOMS, EIMD (exercise induced muscle damage)","Creatine Kinase, Skeletal muscle slow troponin I, Interleukin-1 Beta, Tumor necrosis factor-alpha, Isometric torque, Range of motion, Swelling, Delayed onset muscle soreness, Pressure pain threshold","Inclusion Criteria:~Subjects will include males (18 to 30 years), determined to be low risk (as determined by ACSM's Guidelines for Exercise Testing and Prescription (American College of Sports Medicine., Thompson, Gordon, & Pescatello, 2010)~BMI<30 (not obese) by a modified physical activity readiness questionnaire (PAR-Q),~Classified as 'untrained' defined by not habitually exercising more than 3x/week. In order to participate subjects would be allowed to exercise not more than three days a week. Each of the exercise sessions must not be longer than 30 minutes and cannot include downhill or uphill running.~Exclusion Criteria:~History of asthma or exercise-induced asthma, COPD, interstitial lung diseases, or cystic fibrosis, dyspnea~History of downhill running training or other eccentric endurance exercise within the past 3 months~History of fish oil or other omega-3 nutritional supplements within the last 3 months~History of significant pain in hips or knees~Current participation in a strength training program or having participated in a strength training program within 60 days before the study~Regular use of anti-inflammatory medication or nutritional supplements (e.g. ketorolac, celecoxib, creatine, protein drinks, amino acids, fish oil or vitamins)~Current daily use of anti-inflammatory medication such as Tylenol, Advil, or Aleve.~Allergies to fish, seafood, or shellfish~Family or personal history of cardiac, peripheral vascular, or cerebrovascular disease.~A diabetic or experience shortness of breath as determined by the modified PAR_Q.~In addition to screening subjects for known cardiovascular disease, or signs and symptoms of pulmonary metabolic disease, subjects will be excluded if their values are outside ACSM's guidelines for cardiovascular disease risk as outlined in Figure 2. This would place subjects as low risk. Researchers will be screening based on age, family history of heart attacks, exposure to cigarette smoke, obesity, hypertension, dyslipidemia and pre-diabetes. Since subjects are recruited as sedentary, this a positive risk factor for CVD. Subjects will be screened for dyslipidemia and will be accepted into the study if their values are for low-density lipoprotein (LDL-C) cholesterol less than 130 mg dL-1 (3.37 mmol·L-1) or a total serum cholesterol value of less than 200 mg·dL-1 (5.18mmol L-1) or and HCL-C is greater or equal to 40 mg·dL-1 (1.55mmol L-1). Please note that this will not change the subjects risk status and they will be still classified as low risk. Subjects should not be currently taking and cholesterol lowering medication such as: Atorvastatin (Lipitor), Fluvastatin (Lescol), Lovastatin (Mevacor), Pravastatin (Pravachol), Simvastatin (Zocor), Rosuvastatin (Crestor)"," The effects PCSO-524®, a patented marine oil lipid and omega-3 PUFA blend derived from the New Zealand green lipped mussel (Perna canaliculus), on indirect markers of muscle damage and inflammation after muscle damaging exercise in untrained men: a randomized, placebo controlled trial",Completed
2,NCT03760731,"The need for moral injury interventions is increasingly being recognized as a domain in Veteran care that must be addressed. Consequences of exposure to morally injurious events include risk for suicide, substance abuse, and refractory symptoms of PTSD and depression. Exposure to morally injurious events is also highly prevalent among Veterans. Thus, interventions addressing moral injury are crucial to helping Veterans build meaningful lives. Psychotherapies explicitly targeting moral injury and functional recovery associated with this construct are limited in VHA. The proposed study serves as a first step in addressing this gap in the literature through the development of a recovery-oriented, evidence-based treatment approach for moral injury among warzone Veterans who report functional impairments related to moral emotions. The proposed pilot study will evaluate the acceptability of this intervention and the feasibility of the design for a future study to test the treatment's capacity to improve patients' functioning.",Thriving in the Midst of Moral Pain: The Acceptability and Feasibility of Acceptance and Commitment Therapy for Moral Injury (ACT-MI) Among Warzone Veterans,"Acceptance and Commitment Therapy for Moral Injury (ACT-MI), Present Centered Therapy (PCT)",Moral Injury,"Psychosocial Rehabilitation, Acceptance and Commitment Therapy","Client Satisfaction Questionnaire, Narrative Evaluation of Intervention Interview, Reasons for Termination (Client and Therapist Versions), Valued Living Questionnaire, Outcome Questionnaire-45 (OQ-45), PROMIS Short Form v2.0-Satisfaction with Social Roles and Activities 8a, PROMIS v2.0-Social Isolation, Ecological Momentary Assessment","Inclusion Criteria:~Eligible for VHA care~Has been deployed to a warzone~Has experienced a morally injurious event which continues to interfere with functioning~Willing to be randomized and participate in either of the two conditions~Exclusion Criteria:~Inability to provide informed consent~Inability to complete study measures, e.g.:~due to significant acute intoxication/withdrawal symptoms~mania~psychosis~aggression~catatonia~cognitive impairment~Imminent suicide risk~Membership in a vulnerable population, e.g.:~pregnant women~History of significant violence towards VA staff~Participation in another psychotherapy research study~Current participation in an EBP for a condition related to moral injury",none,Recruiting
3,NCT00353743,"The use of antibiotics in post-partum infection has been abbreviated. After 48 hours of clinical improvement, the patient is discharged from the hospital without antibiotics. No trials has been found in cases of septic abortion.~The purpose of the present study is to verify the need of antibiotics after clinical improvement in cases of septic abortion.",The Use of Antibiotics After Hospital Discharge in Septic Abortion,"placebo, doxycycline plus metronidazole","Abortion, Septic","infected abortion, treatment period, doxycycline, metronidazole, placebo","Clinical cure defined as no fever, no abdominal pain or bleeding.","Inclusion Criteria:~Patients admitted at the hospital with a diagnosis of infected abortion and about to be discharged from the hospital.~Use of intravenous antibiotics (gentamicin and clindamycin)~Improvement of the clinical conditions for at least 48 hours (no fever, eating and walking normally, reduced vaginal bleeding)~Exclusion Criteria:~Unwilling to participate in the study.~Use of antibiotics previously within one week.~Presence of tubo-ovarian abscess.~Known allergy to doxycycline or metronidazole."," Unsafe abortion: worldwide estimates for 2000,  Septic abortion, Ministério da Saúde,  Abortamento,  Chorioamnionitis: is continuation of antibiotic therapy necessary after cesarean section? Am J Obstet Gynecol,  Antibiotic regimens for endometritis after delivery,  Inclusion of patients in clinical trial analysis: the intention-to-treat principle",Terminated
4,NCT03760705,"The research project aims to perform data extraction, integration and analysis across multiple clinical, administrative, financial and pharmacy databases in the participating institutions. The key data components will include clinical cardiovascular specific data, procedural data, financial and administrative data (e.g. cost of medications and supplies, length of stay, diagnosis codes etc.), short-to-long term clinical outcomes (including hospital re-admissions, cardiovascular events, death), and quality-of-care indices (e.g. compliance to guideline-recommended therapy and medications). The research project will involve all patients proven and/or suspected with coronary artery disease (CAD), congestive heart failure (CHF) and atrial fibrillation (AF) admitted to National Heart Centre Singapore (NHCS) and NUH.",Singapore Cardiac Longitudinal Outcomes Database,Data Collection,"Coronary Artery Disease, Congestive Heart Failure, Atrial Fibrillation","CAD, CHF, AF, SingCLOUD, Cardiovascular, Retrospective, BRAIN, HDG, Database","The primary outcome measure will be to assess the total number of patients who passed away due to any cause at the 1-year time point, The primary outcome measure will be to assess the total number of patients who passed away due to any cause at the 2-year time point, The primary outcome measure will be to assess the total number of patients who passed away due to any cause at the 3-year time point, The secondary outcome measure will be to assess the total number of patients who had major adverse cardiac event (MACE) due to any cause at the 1-year time point, The secondary outcome measure will be to assess the total number of patients who had MACE due to any cause at the 2-year time point, The secondary outcome measure will be to assess the total number of patients who had MACE due to any cause at the 3-year time point",Inclusion Criteria:~all patients who present to a healthcare institution with either CAD or suspected CAD (including chest pain); CHF or suspected CHF; AF or suspected AF~Exclusion Criteria:~non-Singaporeans,none,"Active, not recruiting"
5,NCT04591977,This study seeks to compare the accuracy and acceptability of Human Papillomavirus (HPV) testing self-sampling kit versus standard clinician-sampled HPV testing for cervical cancer screening. The primary outcome of this study is the concordance between screening results on self-sampling kits compared to clinician-collected HPV test and Pap smear results. Secondary endpoints will include acceptability of self-sampling and barriers to cervical cancer screening. These endpoints will be analyzed to try to circumvent barriers to the cervical cancer screening and ascertain whether self-sampling is a viable alternative to clinician sampling.,Self-Sampling for Human Papillomavirus (HPV) at Well Women Appointments,HPV Self-Sampling Kit (Evalyn Brush),HPV,"HPV, Cervical Cancer, Self-Sampling, Cancer screening","Concordance of screening results of the Self-Sampling Kit compared to Clinician-collected samples, Acceptability of Self-Sampling Kits, Problems with Using Self-Sampling Kits","Inclusion Criteria:~Age 30-65 Years~Penn State Health, Family and Community Medicine, patient attending a well-woman visit~Able to collect the sample within two weeks of visit~Female~Intact cervix~Speaks, reads, or writes in English~Exclusion Criteria:~Pregnancy~Cognitively Impaired~Incarcerated~Complete hysterectomy~History of cervical treatment for abnormal Pap/HPV test (cryotherapy, LEEP)"," Cancer statistics, 2018,  Population-based screening for cancer: hope and hype,  S,  American Cancer Society, American Society for Colposcopy and Cervical Pathology, and American Society for Clinical Pathology screening guidelines for the prevention and early detection of cervical cancer",Recruiting
6,NCT03760614,The main purpose of this study is to find the best dose of entinostat when given in combination with FOLFOX for pancreatic cancer.,A Study of Entinostat and FOLFOX in Subjects With Pancreatic Adenocarcinoma,"Entinostat, FOLFOX regimen",Pancreas Cancer,none,"Dose limiting toxicity (DLT), Incidence, nature and severity of adverse events (AE), Progress free survival (PFS), Overall response rate (ORR)","Inclusion Criteria:~Willing and able to provide written informed consent.~Ability to comply with the protocol.~Aged ≥ 18 years.~Histologically or cytologically confirmed metastatic pancreatic adenocarcinoma that has progressed after first-line gemcitabine+nab-paclitaxel-based chemotherapy.~ECOG PS of 0 or 1~At least one lesion that can be measured accurately at baseline as ≥10mm in the longest diameter (except lymph nodes which must have a short axis ≥15mm) with CT/MRI and which is suitable for repeated measurements per RECIST v1.1~Adequate hematological and end-organ function, as per the local institutions reference ranges, within 72 hrs prior to day 1 of cycle 1 of treatment defined by the following:~Hematology: ANC ≥1.5 x 109/L (≥1500 cells / mm3); Platelet count ≥ 150 x 109/L (≥150,000 cells/mm3); Hb ≥ 9g/dl (≥9 mg/L)~Coagulation: INR and aPTT ≤1.5 x ULN.~Hepatic function: bilirubin ≤1.5 x ULN; AST / ALT ≤ 2.5 x ULN (or ≤ 5 x ULN in the presence of liver metastasis)~Renal: Creatinine < 1.5x ULN or calculated creatinine clearance ≥ 50ml/min calculated as per local institution standards.~Negative serum or urine pregnancy test within 14 days of day 1 cycle 1 for female subjects of childbearing potential. Female subjects of childbearing potential as well as male subjects must agree to use effective contraception during the study and for 120 days after the last of entinostat. Non-childbearing potential is defined as:~≥45 years of age and has not had menses for >2 years~Amenorrhoeic for <2 years without a hysterectomy and oophorectomy and a follicle-stimulating hormone value in the postmenopausal range upon pre-study (screening) evaluation~Post hysterectomy, oophorectomy or tubal ligation. Documented hysterectomy or oophorectomy must be confirmed with medical records of the actual procedure or confirmed by an ultrasound. Tubal ligation must be confirmed with medical records of the actual procedure otherwise the subject must be willing to use 2 adequate barrier methods throughout the study, starting with the screening visit through 120 days after the last dose of study drug~Tumor sites amenable to repeated biopsies.~Willingness to undergo paired tumor biopsies during the trial.~Exclusion Criteria:~Subjects with known or suspected brain metastasis~Significant cardiovascular disease such as New York Heart Associate Class III/IV, cardiac failure, myocardial infarction within 6 months prior to enrolment, unstable arrhythmia, or evidence of ischemia on ECG.~Baseline QTc exceeding 450msec (470msec for females) and / or subjects receiving class 1A or class III anti-arrhythmic agents.~Known HIV or active hepatitis A, B or C infection (with positive viral PCR).~Malignancies other than pancreatic cancer ≤5 years prior to Entinostat and FOLFOX cycle 1 day 1, with the exception of those with a negligible risk of metastasis or death and treated with expected curative outcomes (such as adequately treated carcinoma in situ of the cervix, basal or squamous cell skin cancer or ductal carcinoma in situ treated surgically with curative intent) or localized prostate cancer treated with curative intent and absence of PSA relapse or incidental prostate cancer (Gleason score ≤3 +4 and PSA <10ng/L undergoing active surveillance and treatment naïve).~Severe infections ≤ 4 weeks prior to enrolment in the study as well as active, uncontrolled bacterial, viral or fungal infections requiring systemic treatment.~Major surgical procedure ≤ 2 weeks prior to enrolment or anticipation of need for a major surgical procedure during the course of the study other than for diagnosis.~Treatment with chemotherapy or other investigational agents within 28 days (or at least 5 x the half-life of the drug) prior to day 1 cycle 1 of Entinostat and FOLFOX (6 weeks for nitrosoureas or Mitomycin C).~Concurrent treatment with other experimental drugs or participation in another clinical trial with any investigational medicinal product (IMP) within ≤ 5 x the half-life of the IMP prior to day 1 cycle 1 of Entinostat and FOLFOX.~Any other disease, metabolic dysfunction, physical examination finding or clinical laboratory finding that, in the investigator's opinion, gives reasonable suspicion of a disease or condition that contraindicates the use of Entinostat or FOLFOX, may affect the interpretation of the results, render the subject at high risk from treatment complications or interferes with obtaining informed consent.~Female subjects who are pregnant or nursing.~Pre-existing neuropathy > CTCAE Grade 2~Previous treatment with platinum agents~Allergy to benzamide or inactive components of entinostat~Any contraindication to oral agents or significant nausea and vomiting, malabsorption or significant small bowel resection that, in the opinion of the investigator, would preclude adequate absorption.",none,Withdrawn
7,NCT02719145,"This cross sectional study will be carried out on 30 subjects who will be recruited from the outpatient clinic of Chest Department, Tanta University Hospital.~They will be classified into 3 groups:~Group I: It will include 10 healthy volunteer subjects. Group II: It will include 10 asthmatic patients. Group III: It will include 10 COPD patients. miR-7, miR-20a, miR-21, miR-22, miR-145 and miR-155 will be measured in serum samples from all subjects",Circulating Micro RNAs Expression in Egyptian Bronchial Asthma and COPD Patients,none,"Asthma, COPD","micro RNA, asthma, COPD","miR-7, miR-20a, miR-21, miR-22, miR-145 and miR-155 in serum samples from control, asthma and COPD Egyptian subjects.","Inclusion Criteria:~Group 1: healthy volunteers with no history of chest troubles.~Group 2: 10 asthmatic patients with history of paroxysmal wheezing, dyspnea, chest distress, and/or coughing; with Reversible airflow limitation as will be measured by an increase in forced expiratory volume in one second (FEV1) of at least 12% and of more than 200 ml after inhalation of 200 μg salbutamol.~Group 3: 10 COPD patients who have chronic airﬂow limitation on spirometry (FEV1/FVC is less than 0.7), and the patients have irreversible airflow limitation as will be measured by an increase in (FEV1) by less than12% or less than 200 ml after inhalation of 200 μg salbutamol.~Exclusion Criteria:~Upper or lower respiratory tract infection during the month preceding the study.~Other chronic respiratory or systemic illness.~Usage of systemic steroids within 2 months prior to the study.~Inability to provide informed consent or who refused to draw off blood."," MicroRNA expression in induced sputum of smokers and patients with chronic obstructive pulmonary disease,  Circulating microRNA Signatures Associated with Childhood Asthma",Completed
8,NCT00353756,"The purpose of this study is to determine whether C326, a new inhibitor of IL-6, is safe in patients with Crohn's disease.","Phase 1 Study of Safety and Biological Effects of C326, an Inhibitor of IL-6, in Crohn's Disease","C326, IL-6 Inhibitory Avimer protein",Crohn's Disease,none,"Safety evaluations, Pharmacokinetics, Biomarker changes -- IL-6, CRP and other acute phase reactants, Crohn's Disease Activity Index (CDAI)","Inclusion Criteria:~Adults 18 - 65~Stable, moderately active Crohn's Disease~Otherwise in generally good health~Exclusion Criteria:~Variety of concurrent medical conditions~Various concomitant medications",none,Unknown status
9,NCT00353769,"The purpose of this study is to compare the effectiveness, complications and benefits of Hair Apposition Technique(HAT)performed by nurses or doctors.",Comparison Study on Hair Apposition Technique Performed Between Nurses and Doctors in Emergency Department.,Hair Apposition Technique,Scalp Laceration,"scalp laceration, tissue adhesive, wound care, cost effectiveness","Presence of any complications, namely infection, scarring, bleeding, wound breakdown and allergy, Satisfactory wound healing, Duration of procedure, Pain perception",Inclusion Criteria:~All age group~Linear lacerations of scalp~Lacerations less than 10cm in length~Hair at least 3cm in length~Exclusion Criteria:~Severely contaminated wounds~Actively bleeding wounds~Patients with unstable vital signs or altered mental state,none,Completed
